\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2018-08-30 08:02:56,,,,,,,,
\\For 2017,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2017-01-01,1,0,5.94,0,0,,,
2017-01-01,2,0,0,2.2,0,,,
2017-01-01,3,0,0,0,0,,,
2017-01-01,4,0,0,0,0,,,
2017-01-01,5,0,0,0,0,,,
2017-01-01,6,0,0.01,0,1.99,,,
2017-01-01,7,0,5.94,6.04,6.02,,,
2017-01-01,8,1.71,6.74,8.42,6.74,,,
2017-01-01,9,0,5.74,5.7,5.84,,,
2017-01-01,10,0,5.94,5.94,0,,,
2017-01-01,11,0.82,6.92,6.92,5.9,,,
2017-01-01,12,0,14.35,14.37,14.35,,,
2017-01-01,13,0,6.04,14.39,14.34,,,
2017-01-01,14,0,6.02,14.36,14.39,,,
2017-01-01,15,0.95,8.2,14.26,14.29,,,
2017-01-01,16,6.44,20.09,14.39,14.35,,,
2017-01-01,17,1.31,59.47,64.04,62.47,,,
2017-01-01,18,12.3,26,30.09,47.15,,,
2017-01-01,19,19.65,26,26,26,,,
2017-01-01,20,6.26,30,30.09,26,,,
2017-01-01,21,12.97,26,26,26,,,
2017-01-01,22,12.98,26,26,26,,,
2017-01-01,23,12.98,26,26,14.39,,,
2017-01-01,24,40.95,26,26,21.14,,,
2017-01-02,1,17.58,24,26,20.61,,,
2017-01-02,2,22.08,14.38,14.38,14.35,,,
2017-01-02,3,6.44,13.04,14.21,9.09,,,
2017-01-02,4,0,6.04,6.02,5.94,,,
2017-01-02,5,0,9.09,5.94,5.7,,,
2017-01-02,6,-0.75,25,25,26,,,
2017-01-02,7,-0.25,25,25,26,,,
2017-01-02,8,-0.25,28.17,27.99,25,,,
2017-01-02,9,0,25.35,30,25,,,
2017-01-02,10,0,26,30.55,25,,,
2017-01-02,11,0,26,40.76,31.98,,,
2017-01-02,12,4.67,26,26,30,,,
2017-01-02,13,13.67,25.99,26,26,,,
2017-01-02,14,14.37,26,26,26,,,
2017-01-02,15,18.22,26,26,26,,,
2017-01-02,16,13.73,32.95,32.95,26,,,
2017-01-02,17,5.61,53.7,54.41,46.08,,,
2017-01-02,18,5.83,55.13,55,48.19,,,
2017-01-02,19,5.92,54,54,39.99,,,
2017-01-02,20,12.33,26,35,27.82,,,
2017-01-02,21,13.03,26,32.85,26,,,
2017-01-02,22,72.01,35.5,35,26,,,
2017-01-02,23,119.21,27,27,27.46,,,
2017-01-02,24,8.87,30.55,26,26,,,
2017-01-03,1,8.47,14.37,33.84,26,,,
2017-01-03,2,4.57,30,30,26,,,
2017-01-03,3,0.48,27.93,30,22.61,,,
2017-01-03,4,0,30,15,26,,,
2017-01-03,5,0,14.35,26,14.36,,,
2017-01-03,6,6.47,28,28,26,,,
2017-01-03,7,8.4,35,41.59,30,,,
2017-01-03,8,29.18,43.57,43.57,26,,,
2017-01-03,9,67.66,42,42,30.39,,,
2017-01-03,10,14.36,48.28,44.39,28,,,
2017-01-03,11,27.36,45.14,48.98,33.57,,,
2017-01-03,12,90.55,38.21,38.46,45,,,
2017-01-03,13,68.81,55,48.28,42,,,
2017-01-03,14,14.35,58.01,49.27,39.27,,,
2017-01-03,15,13.66,40,40,45.48,,,
2017-01-03,16,13.72,40,39.71,46.37,,,
2017-01-03,17,19.92,47.77,48.28,46.13,,,
2017-01-03,18,26.59,54,53.57,53.57,,,
2017-01-03,19,29.94,64,64,50,,,
2017-01-03,20,39.94,53.85,54,49.43,,,
2017-01-03,21,42.77,59.01,60,50,,,
2017-01-03,22,18.28,45.88,45.9,48.28,,,
2017-01-03,23,6.62,32,32,35.63,,,
2017-01-03,24,-0.5,14.34,14.35,14.36,,,
2017-01-04,1,-0.5,0,0,0,,,
2017-01-04,2,-0.5,0,0,0,,,
2017-01-04,3,-0.76,0,0,0,,,
2017-01-04,4,-3,0,0,0,,,
2017-01-04,5,-3,0,0,0,,,
2017-01-04,6,-0.25,0,5.13,0,,,
2017-01-04,7,0,14.4,14.39,14.4,,,
2017-01-04,8,0,26,26,14.36,,,
2017-01-04,9,0,14.35,14.39,14.37,,,
2017-01-04,10,0,0,14.36,14.35,,,
2017-01-04,11,0,0,14.32,14.37,,,
2017-01-04,12,0,0,0,5.7,,,
2017-01-04,13,0,0,5.13,4.75,,,
2017-01-04,14,0,0,5.7,5.7,,,
2017-01-04,15,3.02,14.34,14.24,5.7,,,
2017-01-04,16,8.07,14.36,14.39,14.34,,,
2017-01-04,17,9.5,26,27,35.76,,,
2017-01-04,18,13.6,27,27,28,,,
2017-01-04,19,40.99,14.39,27,34.97,,,
2017-01-04,20,58.08,18.5,26,35.76,,,
2017-01-04,21,13.74,27,26,35.76,,,
2017-01-04,22,18.84,26,26,14.39,,,
2017-01-04,23,58.87,15.07,27,35.76,,,
2017-01-04,24,22.14,14.35,14.38,14.37,,,
2017-01-05,1,11.96,14.34,14.33,5.72,,,
2017-01-05,2,2.38,0,0,0,,,
2017-01-05,3,0,0,0,0,,,
2017-01-05,4,0,0,0,0,,,
2017-01-05,5,0,4.64,0,0,,,
2017-01-05,6,3.59,31,31,30,,,
2017-01-05,7,1.82,41.16,41.44,41.44,,,
2017-01-05,8,9.97,36.08,36.34,36.09,,,
2017-01-05,9,30.66,30,31,31,,,
2017-01-05,10,35.68,30,30,30,,,
2017-01-05,11,32.9,30,28,35.13,,,
2017-01-05,12,36.33,29,29,36.11,,,
2017-01-05,13,32.47,30,29,36.1,,,
2017-01-05,14,36.74,30,30,38.93,,,
2017-01-05,15,14.37,32,30,38.38,,,
2017-01-05,16,15.91,32.89,36.1,39.44,,,
2017-01-05,17,18.54,41.47,42.95,45.02,,,
2017-01-05,18,42.56,51,50,48.55,,,
2017-01-05,19,38.22,39,41.5,40,,,
2017-01-05,20,41.04,43.35,40,42.51,,,
2017-01-05,21,37.21,41.34,41.88,41.34,,,
2017-01-05,22,39.14,38.9,42.49,38.93,,,
2017-01-05,23,18.4,36.08,36.09,38.93,,,
2017-01-05,24,17.05,14.36,14.39,44.87,,,
2017-01-06,1,33.97,45.55,45.55,41.88,,,
2017-01-06,2,29.82,43.87,45,41.88,,,
2017-01-06,3,25.65,38,36,40,,,
2017-01-06,4,14.38,29.03,29.03,33.27,,,
2017-01-06,5,14.38,32.07,30.5,30.3,,,
2017-01-06,6,10.78,39.52,35,33.29,,,
2017-01-06,7,31.3,50,60.13,41.01,,,
2017-01-06,8,37.11,41.01,60.13,49.21,,,
2017-01-06,9,38.29,41.01,41.01,43.3,,,
2017-01-06,10,40.12,44.76,52.52,40,,,
2017-01-06,11,14.82,37.74,40,51.87,,,
2017-01-06,12,9.66,51.01,54.59,33.57,,,
2017-01-06,13,13.66,32,40,37.48,,,
2017-01-06,14,13.5,36.08,36.08,39.83,,,
2017-01-06,15,35.94,39.54,39.52,37.31,,,
2017-01-06,16,35.18,37.53,37.59,37.29,,,
2017-01-06,17,39.01,39.73,39.75,39.72,,,
2017-01-06,18,38.76,40.3,40.42,40.42,,,
2017-01-06,19,38.59,40.41,54.28,39.59,,,
2017-01-06,20,36.4,40.3,40.3,40.33,,,
2017-01-06,21,37.57,40,40.3,40.33,,,
2017-01-06,22,38.31,40,40.38,39.99,,,
2017-01-06,23,38.79,40,41.12,47,,,
2017-01-06,24,37.5,40,40.4,39.8,,,
2017-01-07,1,41.2,45.86,45.86,43.1,,,
2017-01-07,2,32.44,40.47,40.49,40.58,,,
2017-01-07,3,14.39,35,36.86,40.48,,,
2017-01-07,4,27.84,39.18,37,39.18,,,
2017-01-07,5,23.74,39.19,39.19,42,,,
2017-01-07,6,34.72,36.89,38.44,39.18,,,
2017-01-07,7,31.24,38.43,43.77,39.82,,,
2017-01-07,8,24.19,35.18,36.18,39.18,,,
2017-01-07,9,21.87,36.7,36.18,39.18,,,
2017-01-07,10,31.71,55.12,55.12,39.18,,,
